Sl no.,District Name,State,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1200,3800,3000,08-Jul-24
2,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,12-Apr-25
3,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1400,1000,03-Apr-24
4,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1400,1200,25-Aug-24
5,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1600,1200,27-Apr-24
6,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1200,4800,3500,13-Oct-24
7,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,1600,1300,28-Apr-24
8,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,19-Aug-24
9,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,2000,1700,08-Dec-24
10,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1800,1400,07-Sep-24
11,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,24-Jan-25
12,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1600,1300,03-May-24
13,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,3000,2200,25-May-24
14,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1600,1300,09-May-24
15,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,1600,1400,08-Sep-24
16,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,6800,4500,21-Jun-24
17,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,3800,2800,29-Nov-24
18,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,3800,2400,27-Nov-24
19,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,2800,2400,08-Jun-24
20,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1200,6000,5000,05-Oct-24
21,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,700,28-Dec-24
22,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,700,05-Apr-25
23,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1600,1300,17-May-24
24,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1200,3800,2400,02-Jul-24
25,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,3200,2600,03-Dec-24
26,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,2800,2200,05-Dec-24
27,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,300,800,600,13-Jan-25
28,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1200,4000,3500,11-Oct-24
29,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,18-Feb-25
30,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1200,4400,3500,25-Jun-24
31,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,3000,2500,15-Sep-24
32,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,1800,1600,14-Aug-24
33,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1200,4000,3500,11-Jul-24
34,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,08-Mar-25
35,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,3000,2400,07-Mar-25
36,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1400,1200,08-Apr-24
37,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,4400,3000,12-Jun-24
38,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1600,6000,4500,22-Jun-24
39,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,3200,2500,22-Nov-24
40,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,900,11-Feb-25
41,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1400,1000,28-Aug-24
42,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1800,1400,07-May-24
43,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1000,4800,4000,13-Jul-24
44,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1200,4600,3500,29-Sep-24
45,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,13-Apr-24
46,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1200,5200,4000,18-Jun-24
47,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1400,1200,02-Apr-24
48,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,20-Feb-25
49,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,2000,1500,09-Dec-24
50,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,6000,5000,07-Oct-24
51,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,3800,2800,26-Nov-24
52,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,5000,3500,01-Oct-24
53,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,19-Dec-24
54,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,26-Aug-24
55,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,2800,2200,29-Oct-24
56,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1200,4400,3500,12-Jul-24
57,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,10-Feb-25
58,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,700,29-Mar-25
59,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1200,5200,4500,24-Jun-24
60,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,700,09-Jan-25
61,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,2800,2000,02-Nov-24
62,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,700,12-Jan-25
63,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1600,1300,23-Apr-24
64,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,4000,3000,25-Sep-24
65,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1400,1200,05-Apr-24
66,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,2000,1600,21-May-24
67,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1800,1400,09-Sep-24
68,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,600,10-Jan-25
69,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,2400,1800,22-May-24
70,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1200,4400,3500,24-Jul-24
71,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,3600,2800,23-Oct-24
72,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,24-Dec-24
73,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,18-Apr-24
74,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,3800,3000,19-Oct-24
75,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,20-Jan-25
76,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1600,1300,10-Apr-24
77,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1600,1300,30-Apr-24
78,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,700,15-Feb-25
79,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,900,27-Jan-25
80,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,2800,2400,09-Jun-24
81,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1000,2500,2000,11-Jan-25
82,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,2400,2000,23-May-24
83,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,4000,3000,22-Oct-24
84,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,2000,1600,13-Sep-24
85,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,700,30-Jan-25
86,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,24-Feb-25
87,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,4400,3500,11-Jun-24
88,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,17-Apr-24
89,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,3000,2400,03-Nov-24
90,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,26-Dec-24
91,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1400,1000,27-Aug-24
92,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,650,04-Apr-25
93,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,15-Apr-24
94,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,20-Dec-24
95,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1400,1000,04-Apr-24
96,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,2000,1600,11-Nov-24
97,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,11-Dec-24
98,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,900,26-Jan-25
99,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,600,02-Jan-25
100,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,31-Jan-25
101,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,700,20-Mar-25
102,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,2800,2200,17-Sep-24
103,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,3600,2800,19-Sep-24
104,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1200,3200,2800,27-Oct-24
105,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1200,6200,4500,17-Jul-24
106,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,14-Apr-24
107,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,4000,3500,04-Jul-24
108,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,3800,3000,06-Jul-24
109,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,2200,1800,09-Aug-24
110,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,2600,2000,07-Nov-24
111,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1400,1200,11-Apr-24
112,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,600,550,30-Dec-24
113,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,2200,1800,10-Sep-24
114,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,2000,1600,12-Aug-24
115,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,3200,2500,28-Oct-24
116,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,700,19-Mar-25
117,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,3000,2400,24-Nov-24
118,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,4000,3000,27-Sep-24
119,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,22-Feb-25
120,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,1400,1200,05-May-24
121,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1200,5400,4000,15-Jul-24
122,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,03-Apr-25
123,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,3200,2500,26-Oct-24
124,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,2800,2400,04-Nov-24
125,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,2000,4600,3700,21-Jul-24
126,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,2000,1600,14-May-24
127,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,06-Jan-25
128,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,2600,2200,07-Dec-24
129,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,14-Dec-24
130,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1200,4000,3000,30-Jun-24
131,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,1800,1400,19-May-24
132,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,4400,3500,28-Sep-24
133,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1600,1300,18-May-24
134,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,01-Mar-25
135,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1600,1300,06-May-24
136,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1400,1200,20-Apr-24
137,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,18-Apr-25
138,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1400,1200,04-May-24
139,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1600,1200,10-Dec-24
140,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,13-Dec-24
141,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,700,27-Mar-25
142,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,700,29-Dec-24
143,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,12-Apr-24
144,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,3800,2800,28-Nov-24
145,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,1600,1300,15-Aug-24
146,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,4000,3000,26-Jun-24
147,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,4000,3600,03-Jul-24
148,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,18-Dec-24
149,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,4000,3200,30-Nov-24
150,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,4400,3000,05-Jun-24
151,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,2800,2200,16-Sep-24
152,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,2600,2300,30-May-24
153,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,5200,4800,30-Sep-24
154,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,2400,2000,31-May-24
155,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,04-Jan-25
156,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,900,11-Apr-25
157,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1200,5000,4000,19-Jul-24
158,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,700,13-Feb-25
159,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,700,21-Mar-25
160,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,16-Apr-24
161,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1200,4800,3600,22-Jul-24
162,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,700,27-Dec-24
163,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,700,23-Mar-25
164,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,26-Apr-24
165,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1000,4000,3000,23-Sep-24
166,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1400,1100,17-Aug-24
167,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,15-Dec-24
168,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,3600,3000,14-Jun-24
169,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,25-Jan-25
170,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1200,4400,3600,15-Oct-24
171,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,2400,2000,01-Jun-24
172,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,21-Dec-24
173,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,02-Mar-25
174,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,05-Mar-25
175,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,2200,1800,05-Sep-24
176,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,4400,3500,17-Jun-24
177,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,700,12-Feb-25
178,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,16-Apr-25
179,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1200,4000,3000,16-Oct-24
180,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1400,1100,31-Mar-25
181,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,2800,2400,27-May-24
182,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,2200,1700,13-Nov-24
183,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,600,26-Feb-25
184,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,2000,1500,12-Nov-24
185,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1600,5600,4200,23-Jun-24
186,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,08-Jan-25
187,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,700,14-Feb-25
188,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1600,1300,02-May-24
189,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,28-Feb-25
190,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,2600,2000,06-Nov-24
191,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1200,4000,3500,12-Oct-24
192,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,1800,1400,10-May-24
193,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,700,18-Mar-25
194,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,12-Dec-24
195,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,07-Apr-25
196,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,1600,1300,18-Aug-24
197,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,10-Apr-25
